type,lat,lng,icon,name/text,alt_names,subheader/text,description,size,angle,spacing,curve,coords,style,overlay
marker,-76.97024507077676,-90.19775390625001,settlement,Marker,,,,,,,,,{},
marker,-65.90165338613072,29.355468750000004,settlement,Marker,,,,,,,,,{},Settlements
marker,26.155267744564583,-48.273795628065834,settlement,Marker,,,,,,,,,{},
marker,-71.7739410364347,-28.278808593750004,settlement,Marker,,,,,,,,,{},Settlements
marker,-72.24891676830892,-27.004394531250004,settlement,Marker,,,,,,,,,{},Settlements
marker,-72.57424976385356,-23.26904296875,settlement,Marker,,,,,,,,,{},Settlements
marker,-70.12542991464234,4.855957031250001,settlement,Marker,,,,,,,,,{},Settlements
marker,-74.45524706208214,-34.34326171875001,settlement,Marker,,,,,,,,,{},Settlements
marker,-72.46865875387394,-21.796875000000004,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.66675882465918,-42.42919921875001,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.85591106616448,-42.64892578125001,settlement,Marker,,,,,,,,,{},Settlements
marker,-76.03201380959756,-42.20947265625,settlement,Marker,,,,,,,,,{},Settlements
marker,-76.33633385775283,-42.5390625,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.13514201950775,-37.41943359375001,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.53013598609306,-30.498046875000004,settlement,Marker,,,,,,,,,{},Settlements
marker,-71.6774828543785,-19.951171875000004,settlement,Marker,,,,,,,,,{},Settlements
marker,-71.89040942842333,-21.467285156250004,settlement,Marker,,,,,,,,,{},Settlements
marker,-71.86306997499312,-19.753417968750004,settlement,Marker,,,,,,,,,{},Settlements
marker,-71.32191469801221,-15.029296875000002,settlement,Marker,,,,,,,,,{},Settlements
marker,-71.76019138754776,-16.721191406250004,settlement,Marker,,,,,,,,,{},Settlements
marker,-72.3424643905499,-13.886718750000002,settlement,Marker,,,,,,,,,{},Settlements
marker,-72.6530383592017,-16.918945312500004,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.68306846179547,-122.49755859375001,settlement,Marker,,,,,,,,,{},
marker,-75.25864871532573,-125.61767578125001,settlement,Marker,,,,,,,,,{},
marker,-75.85591106616448,-124.67285156250001,settlement,Marker,,,,,,,,,{},
marker,-75.05035357407698,-118.95996093750001,settlement,Marker,,,,,,,,,{},
marker,-75.01630602063717,-116.87255859375001,settlement,Marker,,,,,,,,,{},
marker,-75.47513069090053,-116.96044921875,settlement,Marker,,,,,,,,,{},
marker,-76.44490733708945,-44.71435546875,settlement,Marker,,,,,,,,,{},Settlements
marker,-76.14295846479848,-45.966796875,settlement,Marker,,,,,,,,,{},Settlements
marker,-76.58325853729983,-46.51611328125,settlement,Marker,,,,,,,,,{},Settlements
marker,-76.8207925254374,-48.69140625,settlement,Marker,,,,,,,,,{},Settlements
marker,-77.03941844273028,-49.37255859375001,settlement,Marker,,,,,,,,,{},Settlements
marker,-77.0836963067392,-50.42724609375001,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.30331101068566,-47.06542968750001,settlement,Marker,,,,,,,,,{},Settlements
marker,-74.83918324990893,-55.4150390625,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.67763393603113,-56.6455078125,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.53562529096112,-68.88427734375001,settlement,Marker,,,,,,,,,{},Settlements
marker,-74.74696664174384,-70.09277343750001,settlement,Marker,,,,,,,,,{},Settlements
marker,-75.18017014726308,-67.25830078125001,settlement,Marker,,,,,,,,,{},Settlements
marker,62.103882522897884,77.60742187500001,settlement,Marker,,,,,,,,,{},Settlements
marker,59.31076795603884,74.17968750000001,settlement,Marker,,,,,,,,,{},Settlements
marker,47.30903424774781,89.75830078125001,settlement,Marker,,,,,,,,,{},Settlements
marker,-37.94419750075404,110.12695312500001,settlement,Marker,,,,,,,,,{},Settlements
marker,-40.64730356252251,108.14941406250001,settlement,Marker,,,,,,,,,{},Settlements
marker,-43.02071359427861,110.10498046875001,settlement,Marker,,,,,,,,,{},Settlements
marker,5.900188795584184,-8.415527343750002,settlement,Marker,,,,,,,,,{},Settlements
marker,6.293458760393985,-9.799804687500002,settlement,Marker,,,,,,,,,{},Settlements
marker,5.309766171943691,-9.514160156250002,settlement,Marker,,,,,,,,,{},Settlements
marker,7.035475652433024,-9.492187500000002,settlement,Marker,,,,,,,,,{},Settlements
marker,12.12526421833159,-9.316406250000002,settlement,Marker,,,,,,,,,{},Settlements
marker,16.762467717941604,-15.139160156250002,settlement,Marker,,,,,,,,,{},Settlements
marker,19.16592425362802,6.745605468750001,settlement,Marker,,,,,,,,,{},Settlements
marker,16.846605106396304,10.898437500000002,settlement,Marker,,,,,,,,,{},Settlements
marker,20.673905264672843,13.974609375000002,settlement,Marker,,,,,,,,,{},Settlements
marker,-49.224772722794825,-20.676269531250004,settlement,Marker,,,,,,,,,{},Settlements
marker,6.533645130567532,-59.80957031250001,settlement,Marker,,,,,,,,,{},Settlements
marker,-16.99375545289455,-116.27929687500001,settlement,Marker,,,,,,,,,{},Settlements
marker,-60.04288763076307,3.7133789062500004,settlement,Marker,,,,,,,,,{},Settlements
